bin_low,bin_high,bin_center,raw_count,weighted_count,channel,sign
89.0,90.0,89.5,0,0,e-mu,same
90.0,91.0,90.5,0,0,e-mu,same
91.0,92.0,91.5,0,0,e-mu,same
92.0,93.0,92.5,0,0,e-mu,same
93.0,94.0,93.5,0,0,e-mu,same
94.0,95.0,94.5,0,0,e-mu,same
95.0,96.0,95.5,0,0,e-mu,same
96.0,97.0,96.5,0,0,e-mu,same
97.0,98.0,97.5,0,0,e-mu,same
98.0,99.0,98.5,0,0,e-mu,same
99.0,100.0,99.5,0,0,e-mu,same
100.0,101.0,100.5,0,0,e-mu,same
101.0,102.0,101.5,0,0,e-mu,same
102.0,103.0,102.5,0,0,e-mu,same
103.0,104.0,103.5,0,0,e-mu,same
104.0,105.0,104.5,0,0,e-mu,same
105.0,106.0,105.5,0,0,e-mu,same
106.0,107.0,106.5,0,0,e-mu,same
107.0,108.0,107.5,0,0,e-mu,same
108.0,109.0,108.5,0,0,e-mu,same
109.0,110.0,109.5,0,0,e-mu,same
110.0,111.0,110.5,0,0,e-mu,same
111.0,112.0,111.5,0,0,e-mu,same
112.0,113.0,112.5,0,0,e-mu,same
113.0,114.0,113.5,0,0,e-mu,same
114.0,115.0,114.5,0,0,e-mu,same
115.0,116.0,115.5,0,0,e-mu,same
116.0,117.0,116.5,0,0,e-mu,same
117.0,118.0,117.5,0,0,e-mu,same
118.0,119.0,118.5,0,0,e-mu,same
119.0,120.0,119.5,0,0,e-mu,same
120.0,121.0,120.5,0,0,e-mu,same
121.0,122.0,121.5,0,0,e-mu,same
122.0,123.0,122.5,0,0,e-mu,same
123.0,124.0,123.5,0,0,e-mu,same
124.0,125.0,124.5,0,0,e-mu,same
125.0,126.0,125.5,0,0,e-mu,same
126.0,127.0,126.5,0,0,e-mu,same
127.0,128.0,127.5,0,0,e-mu,same
128.0,129.0,128.5,0,0,e-mu,same
129.0,130.0,129.5,0,0,e-mu,same
