bin_low,bin_high,bin_center,raw_count,weighted_count,channel,sign
95.0,96.0,95.5,0,0,Z->ee,same
96.0,97.0,96.5,0,0,Z->ee,same
97.0,98.0,97.5,0,0,Z->ee,same
98.0,99.0,98.5,0,0,Z->ee,same
99.0,100.0,99.5,0,0,Z->ee,same
100.0,101.0,100.5,0,0,Z->ee,same
101.0,102.0,101.5,0,0,Z->ee,same
102.0,103.0,102.5,0,0,Z->ee,same
103.0,104.0,103.5,0,0,Z->ee,same
104.0,105.0,104.5,0,0,Z->ee,same
105.0,106.0,105.5,0,0,Z->ee,same
106.0,107.0,106.5,0,0,Z->ee,same
107.0,108.0,107.5,0,0,Z->ee,same
108.0,109.0,108.5,0,0,Z->ee,same
109.0,110.0,109.5,0,0,Z->ee,same
110.0,111.0,110.5,0,0,Z->ee,same
111.0,112.0,111.5,0,0,Z->ee,same
112.0,113.0,112.5,0,0,Z->ee,same
113.0,114.0,113.5,0,0,Z->ee,same
114.0,115.0,114.5,0,0,Z->ee,same
115.0,116.0,115.5,0,0,Z->ee,same
116.0,117.0,116.5,0,0,Z->ee,same
117.0,118.0,117.5,0,0,Z->ee,same
118.0,119.0,118.5,0,0,Z->ee,same
119.0,120.0,119.5,0,0,Z->ee,same
120.0,121.0,120.5,0,0,Z->ee,same
121.0,122.0,121.5,0,0,Z->ee,same
122.0,123.0,122.5,0,0,Z->ee,same
123.0,124.0,123.5,0,0,Z->ee,same
124.0,125.0,124.5,0,0,Z->ee,same
125.0,126.0,125.5,0,0,Z->ee,same
126.0,127.0,126.5,0,0,Z->ee,same
127.0,128.0,127.5,0,0,Z->ee,same
128.0,129.0,128.5,0,0,Z->ee,same
129.0,130.0,129.5,0,0,Z->ee,same
50.0,51.0,50.5,0,0,Z->mumu,opposite
51.0,52.0,51.5,0,0,Z->mumu,opposite
52.0,53.0,52.5,0,0,Z->mumu,opposite
53.0,54.0,53.5,0,0,Z->mumu,opposite
54.0,55.0,54.5,0,0,Z->mumu,opposite
55.0,56.0,55.5,0,0,Z->mumu,opposite
56.0,57.0,56.5,0,0,Z->mumu,opposite
57.0,58.0,57.5,0,0,Z->mumu,opposite
58.0,59.0,58.5,0,0,Z->mumu,opposite
59.0,60.0,59.5,0,0,Z->mumu,opposite
60.0,61.0,60.5,0,0,Z->mumu,opposite
61.0,62.0,61.5,0,0,Z->mumu,opposite
62.0,63.0,62.5,0,0,Z->mumu,opposite
63.0,64.0,63.5,0,0,Z->mumu,opposite
64.0,65.0,64.5,0,0,Z->mumu,opposite
65.0,66.0,65.5,0,0,Z->mumu,opposite
66.0,67.0,66.5,0,0,Z->mumu,opposite
67.0,68.0,67.5,0,0,Z->mumu,opposite
68.0,69.0,68.5,0,0,Z->mumu,opposite
69.0,70.0,69.5,0,0,Z->mumu,opposite
70.0,71.0,70.5,0,0,Z->mumu,opposite
71.0,72.0,71.5,0,0,Z->mumu,opposite
72.0,73.0,72.5,0,0,Z->mumu,opposite
73.0,74.0,73.5,0,0,Z->mumu,opposite
74.0,75.0,74.5,0,0,Z->mumu,opposite
75.0,76.0,75.5,0,0,Z->mumu,opposite
76.0,77.0,76.5,0,0,Z->mumu,opposite
77.0,78.0,77.5,0,0,Z->mumu,opposite
78.0,79.0,78.5,0,0,Z->mumu,opposite
79.0,80.0,79.5,0,0,Z->mumu,opposite
80.0,81.0,80.5,0,0,Z->mumu,opposite
81.0,82.0,81.5,0,0,Z->mumu,opposite
82.0,83.0,82.5,0,0,Z->mumu,opposite
83.0,84.0,83.5,0,0,Z->mumu,opposite
84.0,85.0,84.5,0,0,Z->mumu,opposite
85.0,86.0,85.5,0,0,Z->mumu,opposite
86.0,87.0,86.5,0,0,Z->mumu,opposite
87.0,88.0,87.5,0,0,Z->mumu,opposite
88.0,89.0,88.5,0,0,Z->mumu,opposite
89.0,90.0,89.5,0,0,Z->mumu,opposite
90.0,91.0,90.5,0,0,Z->mumu,opposite
91.0,92.0,91.5,0,0,Z->mumu,opposite
92.0,93.0,92.5,0,0,Z->mumu,opposite
93.0,94.0,93.5,0,0,Z->mumu,opposite
94.0,95.0,94.5,0,0,Z->mumu,opposite
95.0,96.0,95.5,0,0,Z->mumu,opposite
96.0,97.0,96.5,0,0,Z->mumu,opposite
97.0,98.0,97.5,0,0,Z->mumu,opposite
