source_file,source_type,event_number,weight,n_electrons,n_muons,n_jets,met_gev,leading_electron_pt_gev,leading_muon_pt_gev,leading_jet_pt_gev,electron_mt_gev,muon_mt_gev,has_same_sign_leptons,trigE,trigM,n_btag_jets,has_os_ee,has_os_mumu,has_em_control,z_ee_in_window,z_mumu_in_window,best_z_ee_mass_gev,best_z_mumu_mass_gev
data_A.1lep.root,data,110606085,1.0,0,1,0,33.18303,,34.34577941894531,,,67.4958728485856,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110822770,1.0,0,1,0,47.43726,,41.45229721069336,,,88.31153945620781,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110851370,1.0,0,1,0,37.198597,,36.80438995361328,,,73.92311634474298,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111230934,1.0,0,1,1,32.322723,,43.4378776550293,41.810333251953125,,64.12734680305022,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,109906415,1.0,0,1,0,38.760532,,29.145797729492188,,,66.61571810449603,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110120452,1.0,0,1,0,50.430565,,35.197235107421875,,,84.00303482304665,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110219652,1.0,0,1,0,39.61487,,44.328609466552734,,,83.80323551206239,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110870608,1.0,0,1,0,35.67852,,31.115867614746094,,,65.59770503576054,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110864297,1.0,0,1,0,40.9657,,32.3719482421875,,,72.26696866434561,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109983849,1.0,0,1,0,44.125183,,40.57582092285156,,,83.4994574070445,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110203826,1.0,0,1,0,44.217804,,45.8760871887207,,,90.06435752234535,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110363559,1.0,0,1,2,69.27154,,38.464195251464844,44.44331741333008,,103.23398082250165,False,False,True,2,False,False,False,False,False,,
data_A.1lep.root,data,110565486,1.0,0,1,0,50.91707,,37.56562805175781,,,86.56256476564003,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110695553,1.0,0,1,0,77.17827,,40.84624099731445,,,109.67214672296112,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110808423,1.0,0,1,0,38.516567,,34.781028747558594,,,73.11910335364396,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111025813,1.0,0,1,3,40.686737,,34.1601676940918,53.26080322265625,,74.35415405674784,False,False,True,3,False,False,False,False,False,,
data_A.1lep.root,data,111206371,1.0,0,1,0,50.336773,,35.35177230834961,,,83.33299296256715,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111512824,1.0,0,1,0,56.12134,,44.00739288330078,,,99.2421037631579,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111892499,1.0,0,1,0,43.169205,,27.891523361206055,,,66.75753679420923,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112013053,1.0,0,1,0,34.677216,,37.937564849853516,,,72.31637146305187,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112279879,1.0,0,1,0,59.820255,,36.47077560424805,,,87.09251291090554,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112625105,1.0,0,1,0,35.96806,,29.874393463134766,,,65.4728609038849,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111934161,1.0,0,1,0,52.17673,,50.63748550415039,,,102.71232306740279,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111950489,1.0,0,1,0,37.968132,,31.518451690673828,,,68.97279196648137,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112042635,1.0,0,1,0,37.399952,,33.05921173095703,,,70.26196692624022,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112151401,1.0,0,1,0,34.52095,,30.313425064086914,,,64.69631699520524,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112321626,1.0,0,1,0,41.17174,,35.209434509277344,,,69.36152077897917,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112637357,1.0,0,1,0,35.72258,,42.451377868652344,,,77.79754886602055,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112645576,1.0,0,1,0,36.05292,,34.81614685058594,,,70.52408311963028,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111804811,1.0,0,1,0,33.798595,,31.047821044921875,,,64.76889209981228,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111992650,1.0,0,1,0,51.582047,,57.59320831298828,,,108.8953047794761,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112427517,1.0,0,1,0,39.96011,,29.103933334350586,,,67.3383766613864,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112466529,1.0,0,1,0,47.30012,,25.775054931640625,,,69.64633176630626,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112606527,1.0,0,1,0,42.927425,,41.32414627075195,,,84.17700866625998,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111661303,1.0,0,1,1,83.924904,,39.96971130371094,108.79015350341797,,89.77212993728722,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,112027101,1.0,0,1,0,36.37124,,28.682409286499023,,,64.57774820791934,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112054607,1.0,0,1,0,32.954002,,30.07349395751953,,,31.606862057598804,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112089489,1.0,0,1,0,35.195152,,38.853553771972656,,,73.9315929062688,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112119435,1.0,0,1,0,40.750637,,36.80226135253906,,,77.22886291659111,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112365893,1.0,0,1,3,66.23503,,39.55724334716797,64.7445068359375,,67.31220977315449,False,False,True,3,False,False,False,False,False,,
